site,location,date,column_position,temp_c,category,,,,,,,
AQUE,outside,38340,bottom,14.49722222,outside_bottom,,MOHK,outside,38611,bottom,15.37777778,outside_bottom
AQUE,outside,38341,bottom,14.73888889,outside_bottom,,MOHK,outside,38612,bottom,15.14069444,outside_bottom
AQUE,outside,38342,bottom,14.45875,outside_bottom,,MOHK,outside,38613,bottom,15.57125,outside_bottom
AQUE,outside,38343,bottom,14.59888889,outside_bottom,,MOHK,outside,38614,bottom,16.06152778,outside_bottom
AQUE,outside,38344,bottom,14.61986111,outside_bottom,,MOHK,outside,38615,bottom,15.50916667,outside_bottom
AQUE,outside,38345,bottom,14.65472222,outside_bottom,,MOHK,outside,38616,bottom,14.78902778,outside_bottom
AQUE,outside,38346,bottom,14.67513889,outside_bottom,,MOHK,outside,38617,bottom,14.46083333,outside_bottom
AQUE,outside,38347,bottom,14.59444444,outside_bottom,,MOHK,outside,38618,bottom,14.99388889,outside_bottom
AQUE,outside,38348,bottom,14.43958333,outside_bottom,,MOHK,outside,38619,bottom,14.84208333,outside_bottom
AQUE,outside,38349,bottom,14.48958333,outside_bottom,,MOHK,outside,38620,bottom,14.65208333,outside_bottom
AQUE,outside,38350,bottom,14.47041667,outside_bottom,,MOHK,outside,38621,bottom,14.12652778,outside_bottom
AQUE,outside,38351,bottom,14.42055556,outside_bottom,,MOHK,outside,38622,bottom,14.03986111,outside_bottom
AQUE,outside,38352,bottom,14.30013889,outside_bottom,,MOHK,outside,38623,bottom,14.29083333,outside_bottom
AQUE,outside,38353,bottom,14.42638889,outside_bottom,,MOHK,outside,38624,bottom,13.38875,outside_bottom
AQUE,outside,38354,bottom,14.31958333,outside_bottom,,MOHK,outside,38625,bottom,13.81694444,outside_bottom
AQUE,outside,38355,bottom,14.55847222,outside_bottom,,MOHK,outside,38626,bottom,14.64291667,outside_bottom
AQUE,outside,38356,bottom,14.64166667,outside_bottom,,MOHK,outside,38627,bottom,14.40736111,outside_bottom
AQUE,outside,38357,bottom,14.58305556,outside_bottom,,MOHK,outside,38628,bottom,14.43027778,outside_bottom
AQUE,outside,38358,bottom,14.24361111,outside_bottom,,MOHK,outside,38629,bottom,13.89208333,outside_bottom
AQUE,outside,38359,bottom,14.29972222,outside_bottom,,MOHK,outside,38630,bottom,14.19541667,outside_bottom
AQUE,outside,38360,bottom,14.53625,outside_bottom,,MOHK,outside,38631,bottom,13.70444444,outside_bottom
AQUE,outside,38361,bottom,14.58388889,outside_bottom,,MOHK,outside,38632,bottom,14.10513889,outside_bottom
AQUE,outside,38362,bottom,14.68625,outside_bottom,,MOHK,outside,38633,bottom,14.79347222,outside_bottom
AQUE,outside,38363,bottom,14.99125,outside_bottom,,MOHK,outside,38634,bottom,14.91694444,outside_bottom
AQUE,outside,38364,bottom,15.00180556,outside_bottom,,MOHK,outside,38635,bottom,14.98361111,outside_bottom
AQUE,outside,38366,bottom,14.61208333,outside_bottom,,MOHK,outside,38636,bottom,14.36291667,outside_bottom
